,DateTime,Latitude,Longitude,xco2,xco2_quality_flag,pressure_levels,Year,Month,Day
58,2014-11-01 07:41:06.370,10.518334,84.81374,398.95837,1,0.10097706,2014,11,1
59,2014-11-01 07:41:06.710,10.604386,84.794044,395.9064,0,0.10096395,2014,11,1
60,2014-11-01 07:41:06.720,10.593289,84.796814,396.47452,0,0.10100451,2014,11,1
61,2014-11-01 07:41:06.730,10.582096,84.7995,397.02628,1,0.10099223,2014,11,1
62,2014-11-01 07:41:06.740,10.570844,84.80209,396.50436,1,0.100903854,2014,11,1
63,2014-11-01 07:41:06.750,10.559648,84.80457,396.53494,0,0.1008995,2014,11,1
64,2014-11-01 07:41:06.760,10.548376,84.80696,396.6917,1,0.10095603,2014,11,1
65,2014-11-01 07:41:06.770,10.537064,84.80926,396.24854,0,0.10102207,2014,11,1
66,2014-11-01 07:41:06.780,10.525701,84.811455,396.83112,1,0.10093012,2014,11,1
67,2014-11-01 07:41:07.010,10.623116,84.78953,395.95184,1,0.101004064,2014,11,1
68,2014-11-01 07:41:07.020,10.612019,84.7923,396.57318,0,0.100933015,2014,11,1
69,2014-11-01 07:41:07.030,10.600825,84.79499,396.2996,1,0.101008736,2014,11,1
70,2014-11-01 07:41:07.040,10.589573,84.79759,396.24948,1,0.100917086,2014,11,1
71,2014-11-01 07:41:07.050,10.578377,84.80008,395.7415,0,0.100890726,2014,11,1
72,2014-11-01 07:41:07.060,10.5671015,84.80247,396.31348,0,0.10093187,2014,11,1
73,2014-11-01 07:41:07.070,10.555785,84.80477,396.6461,0,0.10108135,2014,11,1
74,2014-11-01 07:41:07.080,10.544418,84.80697,396.30432,0,0.10096783,2014,11,1
75,2014-11-01 07:41:07.320,10.630709,84.78779,396.78415,1,0.100862674,2014,11,1
76,2014-11-01 07:41:07.330,10.619513,84.79049,396.9273,0,0.100926474,2014,11,1
77,2014-11-01 07:41:07.340,10.608255,84.79309,396.60547,1,0.100905254,2014,11,1
78,2014-11-01 07:41:07.350,10.597055,84.795586,396.24078,0,0.10090921,2014,11,1
79,2014-11-01 07:41:07.360,10.585779,84.79798,396.3733,0,0.10104241,2014,11,1
80,2014-11-01 07:41:07.370,10.574462,84.800285,396.0269,0,0.10109308,2014,11,1
81,2014-11-01 07:41:07.380,10.563095,84.80249,396.04202,0,0.10098928,2014,11,1
82,2014-11-01 07:41:07.710,10.660487,84.780495,395.67084,1,0.10098097,2014,11,1
83,2014-11-01 07:41:07.720,10.649386,84.78328,396.52795,1,0.100851774,2014,11,1
84,2014-11-01 07:41:07.740,10.626933,84.7886,397.71536,1,0.10076695,2014,11,1
85,2014-11-01 07:41:07.750,10.615733,84.79109,395.86853,0,0.10097331,2014,11,1
86,2014-11-01 07:41:07.760,10.604457,84.793495,396.67862,0,0.100911275,2014,11,1
87,2014-11-01 07:41:07.770,10.59314,84.7958,396.2853,0,0.10101847,2014,11,1
88,2014-11-01 07:41:07.780,10.581772,84.79801,395.8369,0,0.10104159,2014,11,1
89,2014-11-01 07:41:08.010,10.679165,84.775986,396.77042,1,0.10092887,2014,11,1
